Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,0,0,0,1,0,0,0,2,1,0,0,4,0,0,0,0,1,0,1
Chelsea,1,2,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,0,0,0,0,0,4,2,0,1,1,1,0,0,1,0,0,0,0,0,0
Leicester,0,0,1,0,0,0,0,4,1,0,2,0,0,1,0,1,0,0,0,0
Man United,1,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwich,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,2,0,1,0,1
Arsenal,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1,2,0
Stoke,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,2,0,2
West Brom,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,0
Aston Villa,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,4,1
Southampton,0,0,0,0,0,1,4,1,2,1,1,0,0,0,0,0,0,0,0,0
Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,1
Swansea,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,1,0,0,0,2
Tottenham,0,1,0,3,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Watford,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,1,2
West Ham,0,0,0,0,0,0,0,1,0,0,2,2,2,0,1,0,2,0,0,0
Crystal Palace,0,0,0,0,0,0,0,2,1,5,0,1,0,0,0,1,0,0,0,0
Man City,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,0,1,3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
