timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1654200000,Jun 02 2022 - 8:00pm,complete,N/A,Anguilla,Dominica,N/A,1,0.00,0.00,0.67,0.67,0,0,0,0,0,0,"","",0,6,-1,-1,-1,-1,-1,-1,-1,-1,3,10,0,3,3,7,-1,-1,50,50,0.40,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,16.00,7.30,1.14,1.14,1.45,2.35,3.40,2.38,1.53,N/A
1654207200,Jun 02 2022 - 10:00pm,complete,N/A,Belize,Dominican Republic,N/A,1,0.00,0.00,0.25,1.00,0,2,2,1,0,1,"","20,67",3,5,3,0,0,0,1,2,0,0,4,14,3,6,1,8,-1,-1,50,50,0.81,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.87,3.18,2.42,1.33,2.14,4.00,8.50,1.91,1.80,FFB Field
1654207200,Jun 02 2022 - 10:00pm,complete,N/A,French Guiana,Guatemala,N/A,1,0.00,0.00,2.50,1.75,2,0,2,2,2,0,"8,41","",2,5,1,0,1,0,0,1,0,1,5,8,5,2,0,6,-1,-1,50,50,1.00,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.30,1.73,1.32,2.12,3.90,8.00,1.91,1.80,N/A
1654212600,Jun 02 2022 - 11:30pm,complete,N/A,Panama,Costa Rica,N/A,1,0.00,0.00,2.33,1.50,2,0,2,0,0,0,"52,76","",10,2,-1,-1,-1,-1,-1,-1,-1,-1,13,6,6,2,7,4,-1,-1,62,38,1.45,0.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,3.20,2.62,1.50,2.35,4.75,10.00,2.10,1.67,Estadio Rommel Fernández Gutiérrez
1654212600,Jun 02 2022 - 11:30pm,complete,N/A,Barbados,Antigua and Barbuda,N/A,1,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","90'1",8,3,3,0,2,0,3,0,2,0,14,17,7,8,7,9,-1,-1,50,50,2.00,2.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.40,1.47,1.27,1.85,3.45,7.00,1.73,2.00,N/A
1654214400,Jun 03 2022 - 12:00am,complete,N/A,Guadeloupe,Cuba,N/A,1,0.00,0.00,2.25,2.25,2,1,3,1,1,0,"15,90","74",3,2,-1,-1,-1,-1,-1,-1,-1,-1,11,9,6,3,5,6,-1,-1,50,50,1.48,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.25,2.15,1.33,1.95,3.95,8.50,1.73,2.00,N/A
1654286400,Jun 03 2022 - 8:00pm,complete,N/A,Saint Martin,Aruba,N/A,1,0.00,0.00,0.67,1.33,0,0,0,0,0,0,"","",10,2,-1,-1,-1,-1,-1,-1,-1,-1,9,9,4,3,5,6,-1,-1,50,50,1.59,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.00,5.00,1.22,1.15,1.47,2.38,4.00,1.73,2.00,N/A
1654286400,Jun 03 2022 - 8:00pm,complete,N/A,British Virgin Islands,Cayman Islands,N/A,1,0.00,0.00,0.67,0.67,1,1,2,0,0,0,"63","82",8,6,-1,-1,-1,-1,-1,-1,-1,-1,12,8,3,2,9,6,-1,-1,50,50,1.34,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.70,5.50,1.21,1.15,1.45,2.38,3.56,1.62,2.20,N/A
1654288200,Jun 03 2022 - 8:30pm,complete,N/A,Sint Maarten,US Virgin Islands,N/A,1,0.00,0.00,1.25,1.00,1,1,2,1,0,1,"83","8",8,6,-1,-1,-1,-1,-1,-1,-1,-1,9,4,2,2,7,2,-1,-1,50,50,1.19,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.30,2.50,1.22,1.79,2.80,5.00,1.67,2.10,N/A
1654288200,Jun 03 2022 - 8:30pm,complete,N/A,Turks and Caicos Islands,Bonaire,N/A,1,0.00,0.00,0.75,2.50,1,4,5,2,0,2,"86","5,16,57,80",6,2,-1,-1,-1,-1,-1,-1,-1,-1,12,10,5,7,7,3,-1,-1,50,50,1.67,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.20,1.91,1.22,1.70,2.80,5.20,1.50,2.50,N/A
1654290000,Jun 03 2022 - 9:00pm,complete,N/A,Bahamas,St. Vincent / Grenadines,N/A,1,0.00,0.00,0.75,0.25,1,0,1,0,0,0,"68","",2,5,-1,-1,-1,-1,-1,-1,-1,-1,5,5,2,3,3,2,-1,-1,50,50,0.82,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.40,1.75,1.33,2.18,4.00,8.50,1.80,1.91,N/A
1654300800,Jun 04 2022 - 12:00am,complete,N/A,Curaçao,Honduras,N/A,1,0.00,0.00,1.00,2.00,0,1,1,1,0,1,"","23",12,6,-1,-1,-1,-1,-1,-1,-1,-1,15,7,2,5,13,2,-1,-1,50,50,1.56,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.20,1.95,1.46,2.40,4.74,10.50,2.00,1.73,N/A
1654308000,Jun 04 2022 - 2:00am,complete,N/A,Nicaragua,Trinidad and Tobago,N/A,1,0.00,0.00,2.50,2.25,2,1,3,1,1,0,"45'1,78","46",7,5,-1,-1,-1,-1,-1,-1,-1,-1,14,6,6,4,8,2,-1,-1,50,50,1.83,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.25,1.52,1.33,2.20,4.00,8.50,1.91,1.80,Estadio Olimpico del IND Managua
1654376400,Jun 04 2022 - 9:00pm,complete,N/A,Bermuda,Haiti,N/A,1,0.00,0.00,1.00,2.50,0,0,0,0,0,0,"","",1,8,-1,-1,-1,-1,-1,-1,-1,-1,7,14,3,5,4,9,-1,-1,50,50,0.92,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.00,4.10,1.36,1.24,1.78,3.30,6.50,2.00,1.73,Bermuda National Stadium
1654383600,Jun 04 2022 - 11:00pm,complete,N/A,Suriname,Jamaica,N/A,1,0.00,0.00,0.33,1.67,1,1,2,1,0,1,"84","39",8,6,-1,-1,-1,-1,-1,-1,-1,-1,14,9,7,3,7,6,-1,-1,50,50,1.88,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.20,1.57,1.41,2.05,4.04,8.00,1.83,1.83,N/A
1654385400,Jun 04 2022 - 11:30pm,complete,N/A,Montserrat,Guyana,N/A,1,0.00,0.00,0.75,1.50,1,2,3,1,1,0,"21","61,71",3,4,-1,-1,-1,-1,-1,-1,-1,-1,5,8,3,5,2,3,-1,-1,50,50,0.80,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.30,1.63,1.24,1.80,3.25,6.50,1.67,2.10,N/A
1654394400,Jun 05 2022 - 2:00am,complete,N/A,El Salvador,Grenada,N/A,1,0.00,0.00,1.67,0.33,3,1,4,3,2,1,"2,43,55","4",8,4,-1,-1,-1,-1,-1,-1,-1,-1,15,4,5,2,10,2,-1,-1,61,39,1.98,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.04,5.25,10.50,1.22,1.67,2.85,5.00,2.50,1.50,Estadio Cuscatlán
1654448400,Jun 05 2022 - 5:00pm,complete,N/A,Costa Rica,Martinique,N/A,2,0.00,0.00,1.50,0.33,2,0,2,1,1,0,"28,88","",5,2,2,0,1,0,0,2,0,1,12,13,3,6,9,7,-1,-1,60,40,1.47,1.77,1.00,0,50,0,0,0,0,0,50,50,2.00,-1.00,1.12,7.60,20.00,1.38,1.40,2.20,8.75,1.98,1.73,Estadio Nacional de Costa Rica
1654455600,Jun 05 2022 - 7:00pm,complete,N/A,Guatemala,Belize,N/A,2,0.00,0.00,1.75,0.25,2,0,2,1,1,0,"9,75","",5,5,-1,-1,-1,-1,-1,-1,-1,-1,22,5,13,3,9,2,-1,-1,67,33,2.94,0.84,2.00,0,100,0,0,0,50,100,0,50,8.00,4.00,1.14,7.10,18.00,1.20,1.57,2.50,4.33,3.25,1.33,Estadio Nacional Mateo Flores
1654455600,Jun 05 2022 - 7:00pm,complete,N/A,Dominica,Anguilla,N/A,2,1.00,1.00,0.67,0.67,1,1,2,1,1,0,"5","57",7,1,-1,-1,-1,-1,-1,-1,-1,-1,19,6,6,3,13,3,-1,-1,50,50,2.26,0.94,0.00,0,0,0,0,0,0,0,0,0,6.00,-2.00,1.14,6.50,19.00,1.14,1.45,2.30,3.20,3.70,1.25,Warner Park Football Stadium
1654459200,Jun 05 2022 - 8:00pm,complete,N/A,Cuba,Barbados,N/A,2,0.00,0.00,2.25,0.00,3,0,3,2,2,0,"35,38,47","",6,0,-1,-1,-1,-1,-1,-1,-1,-1,13,6,8,4,5,2,-1,-1,55,45,1.89,0.90,2.00,50,50,50,0,0,0,50,50,100,10.00,2.00,1.20,6.05,12.50,1.20,1.61,2.50,4.33,2.75,1.40,N/A
1654470000,Jun 05 2022 - 11:00pm,complete,N/A,Antigua and Barbuda,Guadeloupe,N/A,2,3.00,3.00,1.50,2.25,1,0,1,0,0,0,"55","",4,2,-1,-1,-1,-1,-1,-1,-1,-1,5,11,3,5,2,6,-1,-1,50,50,0.81,1.39,2.00,50,50,50,0,0,0,50,50,100,6.00,1.00,4.75,4.00,1.15,1.33,1.73,3.40,6.00,1.83,1.83,Warner Park Football Stadium
1654470000,Jun 05 2022 - 11:00pm,complete,N/A,Dominican Republic,French Guiana,N/A,2,3.00,3.00,1.00,2.50,2,3,5,2,1,1,"20,51","16,71,78",11,4,-1,-1,-1,-1,-1,-1,-1,-1,6,6,4,4,2,2,-1,-1,50,50,1.09,0.92,2.00,0,100,0,0,0,50,100,0,50,7.00,1.00,1.45,3.20,2.60,1.40,2.15,4.00,8.00,1.91,1.80,N/A
1654542000,Jun 06 2022 - 7:00pm,complete,N/A,St. Vincent / Grenadines,Nicaragua,N/A,2,0.00,3.00,0.25,2.50,2,2,4,4,2,2,"3,45'5","22,41",5,4,-1,-1,-1,-1,-1,-1,-1,-1,9,12,6,5,3,7,-1,-1,50,50,1.39,1.60,2.00,50,50,50,0,0,0,50,50,100,12.00,-2.00,3.30,3.40,2.00,1.36,2.05,3.70,7.50,2.10,1.67,Arnos Vale Ground
1654545600,Jun 06 2022 - 8:00pm,complete,N/A,Bonaire,Sint Maarten,N/A,2,3.00,1.00,2.50,1.25,2,2,4,4,2,2,"9,18","27,32",9,8,-1,-1,-1,-1,-1,-1,-1,-1,9,12,3,6,6,6,-1,-1,50,50,1.20,1.74,3.50,100,100,50,50,50,50,100,50,100,10.00,-2.00,1.09,9.00,21.00,1.08,1.35,2.00,2.63,1.80,1.91,N/A
1654545600,Jun 06 2022 - 8:00pm,complete,N/A,US Virgin Islands,Turks and Caicos Islands,N/A,2,1.00,0.00,1.00,0.75,3,2,5,2,1,1,"19,77,90'6","45'3,55",13,2,-1,-1,-1,-1,-1,-1,-1,-1,21,6,10,4,11,2,-1,-1,50,50,2.55,0.85,3.50,100,100,50,50,50,50,100,50,100,12.00,-2.00,3.25,3.50,2.00,1.25,1.85,2.95,5.75,1.62,2.20,N/A
1654552800,Jun 06 2022 - 10:00pm,complete,N/A,Cayman Islands,British Virgin Islands,N/A,2,1.00,1.00,0.67,0.67,1,1,2,1,1,0,"25","46",5,3,-1,-1,-1,-1,-1,-1,-1,-1,13,3,4,2,9,1,-1,-1,50,50,1.55,0.61,2.00,100,100,0,0,0,0,0,100,100,14.00,-2.00,1.43,4.60,6.00,1.19,1.57,2.55,4.65,1.80,1.91,N/A
1654556400,Jun 06 2022 - 11:00pm,complete,N/A,Aruba,Saint Martin,N/A,2,1.00,1.00,1.33,0.67,3,0,3,3,3,0,"25,35,45'2","",4,5,-1,-1,-1,-1,-1,-1,-1,-1,14,8,7,0,7,8,-1,-1,50,50,1.89,1.10,0.00,0,0,0,0,0,0,0,0,0,12.00,-2.00,1.25,3.75,3.90,3.74,2.20,15.00,3.74,2.20,1.62,N/A
1654560000,Jun 07 2022 - 12:00am,complete,N/A,Trinidad and Tobago,Bahamas,N/A,2,0.00,3.00,2.25,0.75,1,0,1,1,1,0,"4","",6,1,-1,-1,-1,-1,-1,-1,-1,-1,19,4,8,2,11,2,-1,-1,50,50,2.56,0.60,2.00,50,50,50,0,0,0,50,50,100,7.00,-2.00,1.01,12.00,34.00,1.13,1.40,2.08,3.35,3.50,1.29,Hasely Crawford Stadium
1654567200,Jun 07 2022 - 2:00am,complete,N/A,Honduras,Curaçao,N/A,2,3.00,0.00,2.00,1.00,1,2,3,1,0,1,"90'4","34,82",4,11,-1,-1,-1,-1,-1,-1,-1,-1,13,15,6,7,7,8,-1,-1,54,46,1.89,1.98,1.00,0,0,0,0,0,0,100,0,0,18.00,-2.00,1.22,3.30,4.00,1.36,2.08,3.75,7.00,2.00,1.73,N/A
1654632000,Jun 07 2022 - 8:00pm,complete,N/A,Guyana,Bermuda,N/A,2,3.00,1.00,1.50,1.00,2,1,3,3,2,1,"35,45'2","42",6,4,-1,-1,-1,-1,-1,-1,-1,-1,12,7,7,3,5,4,-1,-1,50,50,1.67,1.01,1.50,50,50,50,0,0,0,50,50,50,5.00,-2.00,2.17,3.30,2.80,1.33,1.70,3.50,7.00,1.62,2.20,N/A
1654635600,Jun 07 2022 - 9:00pm,complete,N/A,Haiti,Montserrat,N/A,2,1.00,0.00,2.50,0.75,3,2,5,4,3,1,"5,9,25","19,90'2",4,2,-1,-1,-1,-1,-1,-1,-1,-1,13,7,7,4,6,3,-1,-1,50,50,1.76,1.03,1.50,50,50,50,0,0,0,50,50,50,11.00,-2.00,1.17,5.70,11.00,1.21,1.60,2.66,4.64,2.38,1.53,N/A
1654642800,Jun 07 2022 - 11:00pm,complete,N/A,Grenada,El Salvador,N/A,2,0.00,3.00,0.33,1.67,2,2,4,2,1,1,"29,55","35,89",3,2,-1,-1,-1,-1,-1,-1,-1,-1,14,7,3,4,11,3,-1,-1,50,50,1.32,0.97,4.00,100,100,100,100,0,100,100,0,100,12.00,-2.00,7.50,4.50,1.05,1.22,1.95,3.05,6.00,2.25,1.57,N/A
1654650000,Jun 08 2022 - 1:00am,complete,N/A,Jamaica,Suriname,N/A,2,1.00,1.00,1.67,0.33,3,1,4,3,2,1,"16,43,70","21",5,5,-1,-1,-1,-1,-1,-1,-1,-1,9,6,4,3,5,3,-1,-1,54,46,1.26,0.85,2.00,100,100,0,0,0,0,100,0,100,14.00,-2.00,1.45,3.80,7.00,1.29,1.85,3.25,5.50,2.00,1.73,N/A
