Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,0,1,0,1,0,0,0,2,2,1,5,0,1,3,3,2,4,0,0
Necaxa,2,0,1,0,1,2,0,2,2,1,2,0,2,5,2,0,2,1,0,0
Juarez,0,0,0,0,1,0,1,1,2,1,0,0,1,3,1,7,4,3,0,0
Pachuca,0,1,4,1,2,1,5,1,0,2,6,1,1,0,0,0,0,0,0,0
Guadalajara Chivas,1,1,0,2,2,1,1,1,3,4,2,1,0,1,4,1,0,0,0,0
U.N.A.M.- Pumas,0,0,0,0,1,0,2,0,0,2,2,1,2,1,4,1,4,5,0,0
Monterrey,4,4,4,3,1,2,1,1,2,0,0,1,1,1,0,0,0,0,0,0
Club Tijuana,1,0,0,1,0,0,2,4,2,0,0,4,2,2,1,2,1,3,0,0
Cruz Azul,1,3,1,2,1,3,1,2,1,0,2,2,2,2,1,0,1,0,0,0
Mazatlan FC,0,0,0,0,0,0,2,1,0,0,3,1,1,2,2,5,4,4,0,0
Puebla,0,0,1,2,0,1,0,4,0,1,4,1,5,1,2,3,0,0,0,0
Club Leon,2,4,2,3,4,3,0,1,1,3,0,0,0,2,0,0,0,0,0,0
Club America,3,4,2,2,2,6,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Atlas,2,5,4,1,1,2,2,2,1,3,1,0,1,0,0,0,0,0,0,0
Toluca,2,0,0,3,3,1,1,1,2,2,0,1,3,0,2,0,3,1,0,0
Santos Laguna,2,1,2,3,2,2,4,1,1,2,1,1,1,0,1,1,0,0,0,0
Atl. San Luis,0,0,0,0,0,0,2,1,3,1,1,2,3,3,0,1,4,4,0,0
U.A.N.L.- Tigres,5,2,3,2,3,1,0,1,2,0,0,4,0,1,1,0,0,0,0,0
